id,Season,Decade
945,1998,1996/2005
946,1998,1996/2005
947,1998,1996/2005
948,1998,1996/2005
949,1998,1996/2005
950,1998,1996/2005
951,1998,1996/2005
952,1998,1996/2005
953,1998,1996/2005
954,1998,1996/2005
955,1998,1996/2005
956,1998,1996/2005
957,1998,1996/2005
958,1998,1996/2005
959,1998,1996/2005
960,1998,1996/2005
961,1998,1996/2005
962,1998,1996/2005
963,1998,1996/2005
964,1998,1996/2005
965,1998,1996/2005
966,1998,1996/2005
967,1998,1996/2005
968,1998,1996/2005
969,1998,1996/2005
970,1998,1996/2005
971,1998,1996/2005
972,1998,1996/2005
973,1998,1996/2005
974,1998,1996/2005
975,1998,1996/2005
976,1998,1996/2005
977,1998,1996/2005
978,1998,1996/2005
979,1998,1996/2005
980,1998,1996/2005
981,1998,1996/2005
982,1998,1996/2005
983,1998,1996/2005
984,1998,1996/2005
985,1998,1996/2005
986,1998,1996/2005
987,1998,1996/2005
988,1998,1996/2005
989,1998,1996/2005
990,1998,1996/2005
991,1998,1996/2005
992,1998,1996/2005
993,1998,1996/2005
994,1998,1996/2005
995,1998,1996/2005
996,1998,1996/2005
997,1998,1996/2005
998,1998,1996/2005
999,1998,1996/2005
1000,1998,1996/2005
1001,1998,1996/2005
1002,1998,1996/2005
1003,1998,1996/2005
1004,1998,1996/2005
1005,1998,1996/2005
1006,1998,1996/2005
1007,1998,1996/2005
1008,1998,1996/2005
1009,1998,1996/2005
1010,1998,1996/2005
1011,1998,1996/2005
1012,1998,1996/2005
1013,1998,1996/2005
1014,1998,1996/2005
1015,1998,1996/2005
1016,1998,1996/2005
1017,1998,1996/2005
1018,1998,1996/2005
1019,1998,1996/2005
1020,1998,1996/2005
1021,1998,1996/2005
1022,1998,1996/2005
1023,1998,1996/2005
1024,1998,1996/2005
1025,1998,1996/2005
1026,1998,1996/2005
1027,1998,1996/2005
1028,1998,1996/2005
1029,1998,1996/2005
1030,1998,1996/2005
1031,1998,1996/2005
1032,1998,1996/2005
1033,1998,1996/2005
1034,1998,1996/2005
1035,1998,1996/2005
1036,1998,1996/2005
1037,1998,1996/2005
1038,1998,1996/2005
1039,1998,1996/2005
1040,1998,1996/2005
1041,1998,1996/2005
1042,1998,1996/2005
1043,1998,1996/2005
1044,1998,1996/2005
1045,1998,1996/2005
1046,1998,1996/2005
1047,1998,1996/2005
1048,1998,1996/2005
1049,1998,1996/2005
1050,1998,1996/2005
1051,1998,1996/2005
1052,1998,1996/2005
1053,1998,1996/2005
1054,1998,1996/2005
1055,1998,1996/2005
1056,1998,1996/2005
1057,1998,1996/2005
1058,1998,1996/2005
1059,1998,1996/2005
1060,1998,1996/2005
1061,1998,1996/2005
1062,1998,1996/2005
1063,1998,1996/2005
1064,1998,1996/2005
1065,1998,1996/2005
1066,1998,1996/2005
1067,1998,1996/2005
1068,1998,1996/2005
1069,1998,1996/2005
1070,1998,1996/2005
1071,1998,1996/2005
1072,1998,1996/2005
1073,1998,1996/2005
1074,1998,1996/2005
1075,1998,1996/2005
1076,1998,1996/2005
1077,1998,1996/2005
1078,1998,1996/2005
1079,1998,1996/2005
1080,1998,1996/2005
1081,1998,1996/2005
1082,1998,1996/2005
1083,1998,1996/2005
1084,1998,1996/2005
1085,1998,1996/2005
1086,1998,1996/2005
1087,1998,1996/2005
1088,1998,1996/2005
1089,1998,1996/2005
1090,1998,1996/2005
1091,1998,1996/2005
1092,1998,1996/2005
1093,1998,1996/2005
1094,1998,1996/2005
1095,1998,1996/2005
1096,1998,1996/2005
1097,1998,1996/2005
1098,1998,1996/2005
1099,1998,1996/2005
1100,1998,1996/2005
1101,1998,1996/2005
1102,1998,1996/2005
1103,1998,1996/2005
1104,1998,1996/2005
1105,1998,1996/2005
1106,1998,1996/2005
1107,1998,1996/2005
1108,1998,1996/2005
1109,1998,1996/2005
1110,1998,1996/2005
1111,1998,1996/2005
1112,1998,1996/2005
1113,1998,1996/2005
1114,1998,1996/2005
1115,1998,1996/2005
1116,1998,1996/2005
1117,1998,1996/2005
1118,1998,1996/2005
1119,1998,1996/2005
1120,1998,1996/2005
1121,1998,1996/2005
1122,1998,1996/2005
1123,1998,1996/2005
1124,1998,1996/2005
1125,1998,1996/2005
1126,1998,1996/2005
1127,1998,1996/2005
1128,1998,1996/2005
1129,1998,1996/2005
1130,1998,1996/2005
1131,1998,1996/2005
1132,1998,1996/2005
1133,1998,1996/2005
1134,1998,1996/2005
1135,1998,1996/2005
1136,1998,1996/2005
1137,1998,1996/2005
1138,1998,1996/2005
1139,1998,1996/2005
1140,1998,1996/2005
1141,1998,1996/2005
1142,1998,1996/2005
1143,1998,1996/2005
1144,1998,1996/2005
1145,1998,1996/2005
1146,1998,1996/2005
1147,1998,1996/2005
1148,1998,1996/2005
1149,1998,1996/2005
1150,1998,1996/2005
1151,1998,1996/2005
1152,1998,1996/2005
1153,1998,1996/2005
1154,1998,1996/2005
1155,1998,1996/2005
1156,1998,1996/2005
1157,1998,1996/2005
1158,1998,1996/2005
1159,1998,1996/2005
1160,1998,1996/2005
1161,1998,1996/2005
1162,1998,1996/2005
1163,1998,1996/2005
1164,1998,1996/2005
1165,1998,1996/2005
1166,1998,1996/2005
1167,1998,1996/2005
1168,1998,1996/2005
1169,1998,1996/2005
1170,1998,1996/2005
1171,1998,1996/2005
1172,1998,1996/2005
1173,1998,1996/2005
1174,1998,1996/2005
1175,1998,1996/2005
1176,1998,1996/2005
1177,1998,1996/2005
1178,1998,1996/2005
1179,1998,1996/2005
1180,1998,1996/2005
1181,1998,1996/2005
1182,1998,1996/2005
1183,1998,1996/2005
1184,1998,1996/2005
1185,1998,1996/2005
1186,1998,1996/2005
1187,1998,1996/2005
1188,1998,1996/2005
1189,1998,1996/2005
1190,1998,1996/2005
1191,1998,1996/2005
1192,1998,1996/2005
1193,1998,1996/2005
1194,1998,1996/2005
1195,1998,1996/2005
1196,1998,1996/2005
1197,1998,1996/2005
1198,1998,1996/2005
1199,1998,1996/2005
1200,1998,1996/2005
1201,1998,1996/2005
1202,1998,1996/2005
1203,1998,1996/2005
1204,1998,1996/2005
1205,1998,1996/2005
1206,1998,1996/2005
1207,1998,1996/2005
1208,1998,1996/2005
1209,1998,1996/2005
1210,1998,1996/2005
1211,1998,1996/2005
1212,1998,1996/2005
1213,1998,1996/2005
1214,1998,1996/2005
1215,1998,1996/2005
1216,1998,1996/2005
1217,1998,1996/2005
1218,1998,1996/2005
1219,1998,1996/2005
1220,1998,1996/2005
1221,1998,1996/2005
1222,1998,1996/2005
1223,1998,1996/2005
1224,1998,1996/2005
1225,1998,1996/2005
1226,1998,1996/2005
1227,1998,1996/2005
1228,1998,1996/2005
1229,1998,1996/2005
1230,1998,1996/2005
1231,1998,1996/2005
1232,1998,1996/2005
1233,1998,1996/2005
1234,1998,1996/2005
1235,1998,1996/2005
1236,1998,1996/2005
1237,1998,1996/2005
1238,1998,1996/2005
1239,1998,1996/2005
1240,1998,1996/2005
1241,1998,1996/2005
1242,1998,1996/2005
1243,1998,1996/2005
1244,1998,1996/2005
1245,1998,1996/2005
1246,1998,1996/2005
